,DEIT + CLIP,,,,CNN,,,,,,,,
546,5,0,0,8153,4,1,1,8152,,,,,
547,5,0,0,8153,5,0,0,8153,,,,,
548,4,1,1,8152,1,4,0,8153,,,,,
549,3,2,0,8153,4,1,0,8153,,,,,
550,5,0,0,8153,5,0,0,8153,,,,,
551,3,2,2,8151,1,4,0,8153,,,,,
552,2,3,3,8150,5,0,1,8152,,,,,
553,5,0,0,8153,4,1,1,8152,,,,,
554,5,0,0,8153,5,0,0,8153,,,,,
555,4,1,1,8152,4,1,1,8152,,,,,
556,5,0,0,8153,4,1,1,8152,,,,,
557,5,0,0,8153,4,1,2,8151,,,,,
558,5,0,0,8153,5,0,0,8153,,,,,
559,4,1,1,8152,4,1,1,8152,,,,,
560,5,0,0,8153,2,3,0,8153,,,,,
561,4,1,0,8153,3,2,1,8152,,,,,
562,5,0,0,8153,5,0,0,8153,,,,,
563,3,2,2,8151,1,4,1,8152,,,,,
564,4,1,0,8153,2,3,1,8152,,,,,
565,5,0,0,8153,5,0,1,8152,,,,,
566,4,1,0,8153,3,2,3,8150,,,,,
567,5,0,0,8153,5,0,0,8153,,,,,
568,5,0,0,8153,2,3,1,8152,,,,,
569,3,2,2,8151,4,1,0,8153,,,,,
570,5,0,0,8153,5,0,0,8153,,,,,
571,5,0,0,8153,4,1,0,8153,,,,,
572,2,3,2,8151,2,3,1,8152,,,,,
573,5,0,0,8153,1,4,0,8153,,,,,
574,5,0,0,8153,2,3,1,8152,,,,,
575,5,0,0,8153,1,4,3,8150,,,,,
576,5,0,0,8153,2,3,1,8152,,,,,
577,5,0,0,8153,4,1,1,8152,,,,,
578,5,0,0,8153,4,1,2,8151,,,,,
579,3,2,2,8151,3,2,2,8151,,,,,
580,3,2,1,8152,4,1,1,8152,,,,,
581,5,0,0,8153,5,0,0,8153,,,,,
582,3,2,0,8153,4,1,2,8151,,,,,
583,5,0,0,8153,2,3,1,8152,,,,,
584,5,0,0,8153,5,0,0,8153,,,,,
585,4,1,1,8152,1,4,3,8150,,,,,
586,5,0,0,8153,5,0,0,8153,,,,,
587,4,1,0,8153,1,4,2,8151,,,,,
588,5,0,0,8153,3,2,2,8151,,,,,
589,3,2,1,8152,4,1,0,8153,,,,,
590,4,1,1,8152,5,0,1,8152,,,,,
591,5,0,0,8153,3,2,1,8152,,,,,
592,5,0,0,8153,5,0,0,8153,,,,,
593,5,0,0,8153,4,1,1,8152,,,,,
594,5,0,0,8153,2,3,1,8152,,,,,
595,3,2,2,8151,2,3,0,8153,,,,,
596,3,2,2,8151,1,4,1,8152,,,,,
597,5,0,0,8153,3,2,2,8151,,,,,
598,4,1,1,8152,4,1,1,8152,,,,,
599,5,0,0,8153,4,1,2,8151,,,,,
600,3,2,2,8151,4,1,2,8151,,,,,
601,2,3,0,8153,5,0,0,8153,,,,,
602,2,3,0,8153,3,2,0,8153,,,,,
603,3,2,0,8153,2,3,0,8153,,,,,
604,5,0,0,8153,2,3,3,8150,,,,,
605,4,1,0,8153,1,4,4,8149,,,,,
606,3,2,2,8151,3,2,3,8150,,,,,
607,3,2,2,8151,1,4,0,8153,,,,,
608,3,2,1,8152,1,4,3,8150,,,,,
609,3,2,0,8153,5,0,0,8153,,,,,
610,3,2,1,8152,4,1,0,8153,,,,,
611,4,1,1,8152,2,3,2,8151,,,,,
612,2,3,3,8150,3,2,2,8151,,,,,
613,5,0,0,8153,1,4,4,8149,,,,,
614,3,2,1,8152,1,4,2,8151,,,,,
615,5,0,0,8153,4,1,1,8152,,,,,
616,3,2,0,8153,4,1,1,8152,,,,,
617,5,0,0,8153,3,2,1,8152,,,,,
618,2,3,3,8150,3,2,2,8151,,,,,
619,5,0,0,8153,4,1,0,8153,,,,,
620,5,0,0,8153,5,0,0,8153,,,,,
621,5,0,0,8153,1,4,1,8152,,,,,
622,5,0,0,8153,3,2,3,8150,,,,,
623,5,0,0,8153,1,4,2,8151,,,,,
624,3,2,2,8151,5,0,0,8153,,,,,
625,5,0,0,8153,4,1,1,8152,,,,,
626,2,3,0,8153,2,3,4,8149,,,,,
627,5,0,0,8153,2,3,2,8151,,,,,
628,3,2,2,8151,5,0,0,8153,,,,,
629,5,0,0,8153,1,4,2,8151,,,,,
630,5,0,0,8153,1,4,1,8152,,,,,
631,5,0,0,8153,4,1,1,8152,,,,,
632,5,0,0,8153,5,0,0,8153,,,,,
633,4,1,1,8152,2,3,0,8153,,,,,
634,2,3,2,8151,3,2,2,8151,,,,,
635,5,0,0,8153,1,4,0,8153,,,,,
636,5,0,0,8153,4,1,0,8153,,,,,
637,5,0,0,8153,5,0,1,8152,,,,,
638,5,0,0,8153,4,1,0,8153,,,,,
639,3,2,2,8151,5,0,0,8153,,,,,
640,3,2,2,8151,5,0,1,8152,,,,,
641,3,2,0,8153,2,3,3,8150,,,,,
642,5,0,0,8153,4,1,0,8153,,,,,
643,5,0,0,8153,1,4,1,8152,,,,,
644,5,0,0,8153,4,1,2,8151,,,,,
645,4,1,1,8152,4,1,1,8152,,,,,
646,3,2,0,8153,3,2,1,8152,,,,,
647,2,3,3,8150,5,0,0,8153,,,,,
648,2,3,3,8150,3,2,1,8152,,,,,
649,5,0,0,8153,4,1,1,8152,,,,,
650,3,2,0,8153,1,4,2,8151,,,,,
651,5,0,0,8153,4,1,1,8152,,,,,
652,3,2,1,8152,4,1,1,8152,,,,,
653,2,3,2,8151,2,3,3,8150,,,,,
654,5,0,0,8153,5,0,1,8152,,,,,
655,3,2,2,8151,1,4,4,8149,,,,,
656,5,0,0,8153,5,0,0,8153,,,,,
657,3,2,0,8153,1,4,0,8153,,,,,
658,5,0,0,8153,5,0,0,8153,,,,,
659,3,2,0,8153,3,2,2,8151,,,,,
660,4,1,0,8153,5,0,0,8153,,,,,
661,3,2,0,8153,4,1,1,8152,,,,,
662,4,1,1,8152,5,0,0,8153,,,,,
663,3,2,1,8152,4,1,1,8152,,,,,
664,5,0,0,8153,4,1,0,8153,,,,,
665,5,0,0,8153,1,4,2,8151,,,,,
666,5,0,0,8153,4,1,2,8151,,,,,
667,3,2,0,8153,5,0,0,8153,,,,,
668,4,1,1,8152,1,4,2,8151,,,,,
669,3,2,1,8152,1,4,2,8151,,,,,
670,5,0,0,8153,5,0,0,8153,,,,,
671,3,2,2,8151,3,2,1,8152,,,,,
672,5,0,0,8153,5,0,1,8152,,,,,
673,3,2,0,8153,1,4,1,8152,,,,,
674,5,0,0,8153,1,4,1,8152,,,,,
675,2,3,3,8150,5,0,0,8153,,,,,
676,5,0,0,8153,3,2,1,8152,,,,,
677,5,0,0,8153,5,0,0,8153,,,,,
678,3,2,0,8153,5,0,0,8153,,,,,
679,4,1,0,8153,2,3,2,8151,,,,,
680,5,0,0,8153,2,3,3,8150,,,,,
681,4,1,0,8153,5,0,0,8153,,,,,
682,3,2,1,8152,2,3,0,8153,,,,,
683,3,2,1,8152,4,1,0,8153,,,,,
684,3,2,0,8153,3,2,0,8153,,,,,
685,5,0,0,8153,1,4,4,8149,,,,,
686,5,0,0,8153,1,4,4,8149,,,,,
687,5,0,0,8153,2,3,2,8151,,,,,
688,5,0,0,8153,4,1,0,8153,,,,,
689,5,0,0,8153,4,1,1,8152,,,,,
690,3,2,0,8153,5,0,0,8153,,,,,
691,5,0,0,8153,1,4,3,8150,,,,,
692,4,1,1,8152,2,3,4,8149,,,,,
693,4,1,0,8153,4,1,0,8153,,,,,
694,5,0,0,8153,4,1,1,8152,,,,,
695,3,2,2,8151,1,4,3,8150,,,,,
696,5,0,0,8153,4,1,0,8153,,,,,
697,3,2,0,8153,2,3,1,8152,,,,,
698,5,0,0,8153,5,0,0,8153,,,,,
699,4,1,1,8152,4,1,1,8152,,,,,
700,5,0,0,8153,4,1,0,8153,,,,,
701,5,0,0,8153,4,1,1,8152,,,,,
702,5,0,0,8153,1,4,3,8150,,,,,
703,5,0,0,8153,4,1,0,8153,,,,,
704,5,0,0,8153,5,0,0,8153,,,,,
705,3,2,1,8152,3,2,0,8153,,,,,
706,4,1,1,8152,3,2,2,8151,,,,,
707,3,2,1,8152,1,4,1,8152,,,,,
708,3,2,1,8152,1,4,0,8153,,,,,
709,2,3,2,8151,1,4,0,8153,,,,,
710,5,0,0,8153,3,2,2,8151,,,,,
711,5,0,0,8153,2,3,2,8151,,,,,
712,5,0,0,8153,1,4,4,8149,,,,,
713,5,0,0,8153,3,2,1,8152,,,,,
714,5,0,0,8153,2,3,2,8151,,,,,
715,5,0,0,8153,2,3,0,8153,,,,,
716,4,1,0,8153,4,1,1,8152,,,,,
717,2,3,2,8151,3,2,0,8153,,,,,
718,5,0,0,8153,4,1,0,8153,,,,,
719,4,1,1,8152,4,1,2,8151,,,,,
720,4,1,0,8153,5,0,1,8152,,,,,
721,4,1,1,8152,4,1,0,8153,,,,,
722,3,2,0,8153,2,3,3,8150,,,,,
723,5,0,0,8153,3,2,0,8153,,,,,
724,4,1,1,8152,4,1,2,8151,,,,,
725,5,0,0,8153,1,4,3,8150,,,,,
726,4,1,0,8153,1,4,2,8151,,,,,
727,5,0,0,8153,1,4,3,8150,,,,,
728,5,0,0,8153,3,2,3,8150,,,,,
729,2,3,0,8153,1,4,3,8150,,,,,
730,5,0,0,8153,1,4,1,8152,,,,,
731,5,0,0,8153,2,3,2,8151,,,,,
732,4,1,0,8153,2,3,3,8150,,,,,
733,5,0,0,8153,3,2,0,8153,,,,,
734,2,3,3,8150,5,0,1,8152,,,,,
735,5,0,0,8153,2,3,3,8150,,,,,
736,5,0,0,8153,1,4,3,8150,,,,,
737,3,2,1,8152,1,4,3,8150,,,,,
738,2,3,3,8150,3,2,1,8152,,,,,
739,4,1,1,8152,4,1,1,8152,,,,,
740,5,0,0,8153,1,4,3,8150,,,,,
741,3,2,2,8151,1,4,3,8150,,,,,
742,3,2,2,8151,2,3,2,8151,,,,,
743,5,0,0,8153,1,4,2,8151,,,,,
744,5,0,0,8153,3,2,0,8153,,,,,
745,3,2,0,8153,3,2,0,8153,,,,,
746,5,0,0,8153,3,2,2,8151,,,,,
747,3,2,1,8152,2,3,2,8151,,,,,
748,5,0,0,8153,5,0,0,8153,,,,,
749,5,0,0,8153,4,1,2,8151,,,,,
750,5,0,0,8153,1,4,2,8151,,,,,
751,5,0,0,8153,2,3,0,8153,,,,,
752,5,0,0,8153,3,2,1,8152,,,,,
753,5,0,0,8153,5,0,0,8153,,,,,
754,5,0,0,8153,1,4,1,8152,,,,,
755,5,0,0,8153,1,4,2,8151,,,,,
756,2,3,2,8151,4,1,1,8152,,,,,
757,2,3,2,8151,5,0,0,8153,,,,,
758,5,0,0,8153,1,4,3,8150,,,,,
759,4,1,0,8153,3,2,0,8153,,,,,
760,3,2,2,8151,4,1,1,8152,,,,,
761,5,0,0,8153,4,1,1,8152,,,,,
762,2,3,0,8153,2,3,2,8151,,,,,
763,4,1,0,8153,4,1,1,8152,,,,,
764,3,2,1,8152,4,1,2,8151,,,,,
765,5,0,0,8153,4,1,1,8152,,,,,
766,3,2,0,8153,3,2,0,8153,,,,,
767,5,0,0,8153,5,0,0,8153,,,,,
768,3,2,2,8151,3,2,1,8152,,,,,
769,4,1,1,8152,1,4,2,8151,,,,,
770,4,1,1,8152,5,0,0,8153,,,,,
771,4,1,0,8153,3,2,0,8153,,,,,
772,4,1,0,8153,2,3,0,8153,,,,,
773,2,3,0,8153,1,4,0,8153,,,,,
774,3,2,2,8151,4,1,0,8153,,,,,
775,4,1,1,8152,5,0,0,8153,,,,,
776,5,0,0,8153,3,2,2,8151,,,,,
777,3,2,2,8151,2,3,3,8150,,,,,
778,5,0,0,8153,2,3,1,8152,,,,,
779,5,0,0,8153,2,3,4,8149,,,,,
780,3,2,0,8153,5,0,0,8153,,,,,
781,5,0,0,8153,5,0,0,8153,,,,,
782,2,3,1,8152,5,0,0,8153,,,,,
783,5,0,0,8153,4,1,0,8153,,,,,
784,4,1,0,8153,5,0,0,8153,,,,,
785,5,0,0,8153,3,2,1,8152,,,,,
786,3,2,1,8152,3,2,0,8153,,,,,
787,5,0,0,8153,1,4,1,8152,,,,,
788,5,0,0,8153,1,4,2,8151,,,,,
789,2,3,1,8152,4,1,0,8153,,,,,
790,5,0,0,8153,5,0,1,8152,,,,,
791,4,1,0,8153,2,3,2,8151,,,,,
792,4,1,1,8152,2,3,3,8150,,,,,
793,5,0,0,8153,2,3,0,8153,,,,,
794,5,0,0,8153,2,3,2,8151,,,,,
795,3,2,2,8151,5,0,0,8153,,,,,
796,5,0,0,8153,2,3,3,8150,,,,,
797,2,3,1,8152,5,0,0,8153,,,,,
798,5,0,0,8153,1,4,3,8150,,,,,
799,5,0,0,8153,3,2,2,8151,,,,,
800,4,1,0,8153,4,1,0,8153,,,,,
,3268,732,511,6521889,2365,1635,1266,6521134,,,,,
